"","Movie Title","iMDB Score","Rotten Tomatoes Score","MetaCritic Score","Available Streams"
"1","The Shawshank Redemption","9.3/10","91%","80/100","N/A"
"2","The Godfather","9.2/10","98%","100/100","Netflix, Amazon Instant"
"3","The Godfather: Part II","9.0/10","97%","90/100","Netflix, Amazon Instant"
"4","The Dark Knight","9.0/10","94%","84/100","iTunes, Amazon Instant"
"5","12 Angry Men","8.9/10","100%","96/100","iTunes"
"6","Schindler's List","8.9/10","97%","93/100","iTunes, Netflix, Amazon Instant"
"7","The Lord of the Rings: The Return of the King","8.9/10","93%","94/100","iTunes, Amazon Instant"
"8","Pulp Fiction","8.9/10","94%","94/100","iTunes, Amazon Instant"
"9","The Good, the Bad and the Ugly","8.9/10","97%","90/100","Amazon Instant, iTunes"
"10","Fight Club","8.8/10","79%","66/100","iTunes, Amazon Instant"
"11","The Lord of the Rings: The Fellowship of the Ring","8.8/10","91%","92/100","iTunes, Netflix, Amazon Instant"
"12","Forrest Gump","8.8/10","73%","82/100","iTunes, Amazon Instant"
"13","Star Wars: Episode V - The Empire Strikes Back","8.8/10","95%","82/100","N/A"
"14","Inception","8.8/10","86%","74/100","iTunes, Amazon Instant"
"15","The Lord of the Rings: The Two Towers","8.7/10","95%","87/100","iTunes"
"16","One Flew Over the Cuckoo's Nest","8.7/10","94%","80/100","iTunes, Amazon Instant"
"17","Goodfellas","8.7/10","96%","89/100","Amazon Instant"
"18","The Matrix","8.7/10","88%","73/100","iTunes, Amazon Instant"
"19","Seven Samurai","8.7/10","100%","98/100","iTunes"
"20","City of God","8.6/10","91%","79/100","iTunes"
"21","Se7en","8.6/10","81%","65/100","Netflix"
"22","Star Wars: Episode IV - A New Hope","8.6/10","93%","90/100","N/A"
"23","The Silence of the Lambs","8.6/10","96%","85/100","iTunes, Amazon Instant"
"24","It's a Wonderful Life","8.6/10","93%","89/100","N/A"
"25","Life Is Beautiful","8.6/10","80%","59/100","iTunes"
"26","The Usual Suspects","8.6/10","89%","77/100","iTunes, Amazon Instant"
"27","Spirited Away","8.6/10","97%","96/100","N/A"
"28","Saving Private Ryan","8.6/10","93%","90/100","Amazon Instant"
"29","Leon: The Professional","8.6/10","72%","64/100","N/A"
"30","The Green Mile","8.5/10","80%","61/100","Netflix, Amazon Instant"
"31","Interstellar","8.6/10","71%","74/100","Amazon Instant, iTunes"
"32","Psycho","8.5/10","97%","97/100","Amazon Instant, iTunes"
"33","American History X","8.5/10","83%","62/100","Amazon Instant"
"34","City Lights","8.5/10","98%",NA,"iTunes"
"35","Once Upon a Time in the West","8.5/10","98%","80/100","iTunes"
"36","Casablanca","8.5/10","97%","100/100","iTunes, Amazon Instant"
"37","Modern Times","8.5/10","100%","96/100","N/A"
"38","The Pianist","8.5/10","95%","85/100","Amazon Instant"
"39","The Intouchables","8.5/10","75%","57/100","Amazon Instant"
"40","The Departed","8.5/10","90%","85/100","iTunes, Amazon Prime, Amazon Instant"
"41","Terminator 2: Judgment Day","8.5/10","93%","75/100","iTunes"
"42","Back to the Future","8.5/10","96%","87/100","iTunes, Amazon Instant"
"43","Whiplash","8.5/10","93%","88/100","iTunes, Amazon Instant"
"44","Rear Window","8.5/10","100%","100/100","N/A"
"45","Raiders of the Lost Ark","8.5/10","95%","85/100","Amazon Instant, Amazon Prime"
"46","The Lion King","8.5/10","93%","83/100","iTunes"
"47","Gladiator","8.5/10","77%","67/100","iTunes"
"48","The Prestige","8.5/10","76%","66/100","iTunes, Amazon Instant"
"49","Apocalypse Now","8.5/10","96%","94/100","iTunes, Amazon Prime, Amazon Instant"
"50","Memento","8.5/10","92%","80/100","iTunes"
"51","Alien","8.5/10","97%","83/100","Amazon Instant, iTunes"
"52","Avengers: Infinity War","8.5/10","84%","68/100","iTunes"
"53","The Great Dictator","8.5/10","92%",NA,"N/A"
"54","Cinema Paradiso","8.5/10","90%","80/100","iTunes, Netflix"
"55","Grave of the Fireflies","8.5/10","97%",NA,"N/A"
"56","Sunset Boulevard","8.4/10","98%",NA,"N/A"
"57","The Lives of Others","8.4/10","92%","89/100","iTunes"
"58","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","8.4/10","99%","96/100","N/A"
"59","Paths of Glory","8.4/10","95%",NA,"iTunes"
"60","The Shining","8.4/10","86%","63/100","iTunes, Netflix, Amazon Instant"
"61","Django Unchained","8.4/10","86%","81/100","Amazon Instant"
"62","WALL-E","8.4/10","96%","95/100","iTunes, Amazon Instant"
"63","Princess Mononoke","8.4/10","93%","76/100","N/A"
"64","Witness for the Prosecution","8.4/10","100%",NA,"iTunes"
"65","American Beauty","8.4/10","88%","86/100","iTunes"
"66","The Dark Knight Rises","8.4/10","87%","78/100","iTunes, Amazon Instant"
"67","Oldboy","8.4/10","80%","74/100","N/A"
"68","Aliens","8.4/10","99%","84/100","iTunes, Amazon Instant"
"69","Once Upon a Time in America","8.4/10","86%",NA,"Netflix"
"70","Coco","8.4/10","97%","81/100","Netflix"
"71","Das Boot","8.4/10","98%","86/100","N/A"
"72","Citizen Kane","8.4/10","100%","100/100","iTunes"
"73","Braveheart","8.4/10","76%","68/100","iTunes, Amazon Prime, Amazon Instant"
"74","Vertigo","8.3/10","96%","100/100","Amazon Instant"
"75","North by Northwest","8.3/10","99%","98/100","iTunes, Amazon Instant"
"76","Reservoir Dogs","8.3/10","91%","79/100","iTunes"
"77","Star Wars: Episode VI - Return of the Jedi","8.3/10","80%","58/100","N/A"
"78","M","8.4/10","100%",NA,"iTunes, Netflix, Amazon Instant"
"79","Your Name","8.9/10",NA,NA,"iTunes"
"80","Amadeus","8.3/10","94%","93/100","Amazon Instant, iTunes"
"81","Dangal","8.5/10","92%",NA,"Netflix"
"82","Requiem for a Dream","8.3/10","79%","68/100","N/A"
"83","Like Stars on Earth","8.4/10","90%",NA,"N/A"
"84","Lawrence of Arabia","8.3/10","98%","100/100","Amazon Instant"
"85","Eternal Sunshine of the Spotless Mind","8.3/10","93%","89/100","iTunes, Netflix, Amazon Instant"
"86","A Clockwork Orange","8.3/10","89%","80/100","iTunes"
"87","2001: A Space Odyssey","8.3/10","93%","82/100","iTunes, Amazon Instant"
"88","Amelie",NA,NA,NA,"iTunes"
"89","3 Idiots","8.4/10","100%","67/100","iTunes"
"90","Double Indemnity","8.3/10","96%","95/100","iTunes"
"91","Toy Story","8.3/10","100%","95/100","iTunes, Amazon Instant"
"92","Taxi Driver","8.3/10","98%","94/100","Amazon Instant"
"93","Singin' in the Rain","8.3/10","100%","99/100","iTunes, Amazon Instant"
"94","Inglourious Basterds","8.3/10","88%","69/100","iTunes"
"95","Full Metal Jacket","8.3/10","93%","76/100","iTunes"
"96","To Kill a Mockingbird","8.3/10","91%","87/100","iTunes, Amazon Instant"
"97","Bicycle Thieves","8.3/10","98%",NA,"N/A"
"98","The Kid","8.3/10","100%",NA,"iTunes"
"99","The Sting","8.3/10","93%","80/100","iTunes"
"100","Toy Story 3","8.3/10","98%","92/100","iTunes, Amazon Instant"
